tree,group,name,parent,parents_path,id,photos,visible,full_path
Active Living,sports,Active Living,,,active,"['101641' '101642' '101643' '101660' '103620' '107466' '10970' '11009'
 '11041' '11045' '11261' '11269' '1148' '12239' '12300' '1488' '1647'
 '18510' '2393' '27090' '319' '32342' '332' '34288' '40530' '43601'
 '45463' '51873' '55803' '6400' '6403' '6416' '6417' '69227' '6Q9VP3k'
 '7379' '96784' 'VJk0gzd' 'Wbyd1w8' 'u1JEGQkxaWI69nQrz'
 'u2JkPEmmaDS7KeWgJ' 'u4m1pJq6m6srPzge3' 'u6yJZzYeK3C8kGJbE'
 'u6yJZzYwp3U8kGJbE' 'u73W5ZAzoYSN0VeWl' 'u8YmzG2R2oczA4xbo'
 'u8YmzGE7JqTzA4xbo' 'uBxGl7B0ojhgZd97O' 'uBxGlPZyNRfgZd97O'
 'uENxzPV0Wyt35BQJA' 'uENxzPeJ5oC35BQJA' 'uGdxrP7KQPtydWk21'
 'uJN8YPP1NeCw6kqbP' 'uJN8YPW0bdtw6kqbP' 'uJN8YPjnZ8iw6kqbP'
 'uNBblPwj3NFWNEVr9' 'uQz6aPro9mUyK6Ypx' 'uR4BVNWmznfD4We9k'
 'uYob1PN1ABcja6qmk' 'ubezOlxne7HWl2O48' 'uek9OpNqNBTJbQGog'
 'ujaxO5j2D4HWjqA26' 'ukalOdzW3QIPxypk2' 'unaQxdKN1BuPyDV8E'
 'unaQxdNZD8SPyDV8E' 'uyrlx1jx0dcxNKYOj' 'uzN7elz0jrSNO1moK']",TRUE,Active Living
    Archery,sports,Archery,active,Active Living,archery,"['101647' '101648' '21289' '21290' '21291' '21292' '21293' '21295' '8641'
 'eykO6Do']",TRUE,Active Living/Archery
    Archery and Shooting,sports,Archery and Shooting,active,Active Living,archeryshooting,"['101647' '101648' '21289' '21290' '21291' '21292' '21293' '21295' '8641'
 'eykO6Do']",TRUE,Active Living/Archery and Shooting
        Gun Club,guns,Gun Club,archeryshooting,Active Living/Archery and Shooting,gunclub,['103264' '103265' '103269' '103271' '83196' '83197'],TRUE,Active Living/Archery and Shooting/Gun Club
    Bowling,hobby,Bowling,active,Active Living,bowling,"['4046' '4047' '4048' '4049' '4050' '4055' '4057' '4058' '4059' '4061'
 '4063' '73557' 'V5d57PQ']",TRUE,Active Living/Bowling
    Boxing Gym,sports,Boxing Gym,active,Active Living,boxinggym,"['106691' '106692' '106693' '20875' '20881' '21545' '51874' '63519'
 '63526' '63528' '63543' '63550' '63552' '63560' '63561'
 'uJN8YPP1NeCw6kqbP']",TRUE,Active Living/Boxing Gym
    Car Racing,sports,Car Racing,active,Active Living,carracingtrack,"['109801' '112743' '125855' '20664' '20669' '20675' '20780' '431' '434'
 '443' '62713' '62717' '62727' '62729' '62734' 'DymadK']",TRUE,Active Living/Car Racing
    Disc Golf,sports,Disc Golf,active,Active Living,discgolf,['20317' '20319' '20320' '20325' '20327' '20329' '61192'],TRUE,Active Living/Disc Golf
    Fencing,sports,Fencing,active,Active Living,fencingschool,['100568' '100573' '100580' '84182'],TRUE,Active Living/Fencing
    Fitness,fitness/wellness,Fitness,active,Active Living,fitness,"['101620' '101621' '103937' '103939' '106803' '106807' '107946' '107953'
 '107961' '11045' '36173' '4887' '4889' '4899' '8731' '98129' '98177'
 '98861' 'QzmdmKK' 'RrBx5Bl' 'WVaO2pj' 'YoJWeOW' 'ZVkjG5k'
 'u0pQ5op1zlizbpK93' 'u1JEGQkxaWI69nQrz' 'u2JkPEmmaDS7KeWgJ'
 'u37J50zJB2iOW7w2V' 'u4m1pJq6m6srPzge3' 'u73W5ZAzoYSN0VeWl'
 'u8YmzG2R2oczA4xbo' 'u8YmzGE7JqTzA4xbo' 'u8YmzyYQbqCzA4xbo'
 'uBxGlPZyNRfgZd97O' 'uENxzPV0Wyt35BQJA' 'uJN8Y6Nqb8iw6kqbP'
 'uJN8YPP1NeCw6kqbP' 'uNBbl7DQrDFWNEVr9' 'uOkgb7jgPkiK40O8W'
 'uOkgbPP3JzHK40O8W' 'uP40w7WJzqCxBOz5V' 'uQz6a2g30WUyK6Ypx'
 'uQz6aPro9mUyK6Ypx' 'uV8DYPW5jNce2d5ox' 'ukalOdzW3QIPxypk2'
 'ulVQxNVdWzU5Dowma' 'unaQxdKN1BuPyDV8E' 'unaQxdNZD8SPyDV8E'
 'urzDZx4JnzHrpeKBw' 'uxVA0Dn8o6fWVy4YR' 'uyrlx1jx0dcxNKYOj'
 'uzN7elz0jrSNO1moK']",TRUE,Active Living/Fitness
